name,barcode,id_category,id_subcategory,id_segment,stock,price_bought,price_sale,discount
"Sauder Camden County Collection Libraries, Planked Cherry Finish",FUR-BO-10003159,1,5,1,73,293.199,388.9079336,0.15
"Sauder Facets Collection Library, Sky Alder Finish",FUR-BO-10003966,1,5,1,26,359.058,481.9859752,0.3
"Sauder Forest Hills Library with Doors, Woodland Oak Finish",FUR-BO-10001918,1,5,1,15,257.568,415.332701,0.2
Sauder Inglewood Library Bookcases,FUR-BO-10000362,1,5,1,61,359.058,387.4239515,0.3
"Sauder Mission Library with Doors, Fruitwood Finish",FUR-BO-10001601,1,5,1,8,222.666,224.3918111,0.15
"Bush Birmingham Collection Bookcase, Dark Cherry",FUR-BO-10000112,1,5,2,17,825.174,1574.538844,0.3
"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",FUR-BO-10001567,1,5,2,94,90.882,103.2732401,0.7
O'Sullivan 5-Shelf Heavy-Duty Bookcases,FUR-BO-10002853,1,5,2,75,81.94,161.985554,0
Sauder Camden County Collection Library,FUR-BO-10003893,1,5,2,94,586.398,724.1529102,0.15
Sauder Cornerstone Collection Library,FUR-BO-10003433,1,5,2,70,61.96,113.0673755,0
O'Sullivan Cherrywood Estates Traditional Bookcase,FUR-BO-10001619,1,5,3,57,84.98,148.9880771,0
Bevis Steel Folding Chairs,FUR-CH-10004886,1,6,1,5,383.8,430.4496842,0.2
DMI Arturo Collection Mission-style Design Wood Chair,FUR-CH-10002602,1,6,1,72,135.882,153.5693899,0.1
"Global Airflow Leather Mesh Back Chair, Black",FUR-CH-10000665,1,6,1,33,301.96,393.1799041,0
"Global Armless Task Chair, Royal Blue",FUR-CH-10003535,1,6,1,45,384.174,717.9122003,0.1
Global Chrome Stack Chair,FUR-CH-10004540,1,6,1,83,95.984,158.8310826,0.3
Global Comet Stacking Arm Chair,FUR-CH-10000309,1,6,1,52,1267.53,1904.775209,0
Global Comet Stacking Armless Chair,FUR-CH-10000155,1,6,1,36,478.48,480.247634,0.2
Global Commerce Series High-Back Swivel/Tilt Chairs,FUR-CH-10003379,1,6,1,93,683.952,817.0500748,0.2
Global Commerce Series Low-Back Swivel/Tilt Chairs,FUR-CH-10003981,1,6,1,96,462.564,597.2965816,0.1
Global Deluxe High-Back Manager's Chair,FUR-CH-10004063,1,6,1,44,600.558,1130.286721,0.3
Global Deluxe High-Back Office Chair in Storm,FUR-CH-10001190,1,6,1,5,217.584,429.3503974,0.2
Global Deluxe Office Fabric Chairs,FUR-CH-10001891,1,6,1,9,230.352,246.3094756,0.2
"Global Deluxe Stacking Chair, Gray",FUR-CH-10002774,1,6,1,26,71.372,120.7757539,0.3
Global Deluxe Steno Chair,FUR-CH-10003396,1,6,1,2,207.846,326.0704933,0.1
Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,FUR-CH-10000229,1,6,1,23,433.568,603.6550811,0.2
Global Enterprise Series Seating Low-Back Swivel/Tilt Chairs,FUR-CH-10002317,1,6,1,3,207.184,381.470746,0.2
Global Ergonomic Managers Chair,FUR-CH-10000785,1,6,1,88,488.646,886.5787434,0.1
Global Executive Mid-Back Manager's Chair,FUR-CH-10000847,1,6,1,78,872.94,1078.08982,0
"Global Fabric Manager's Chair, Dark Gray",FUR-CH-10004218,1,6,1,17,212.058,346.8218438,0.3
"Global Geo Office Task Chair, Gray",FUR-CH-10000225,1,6,1,61,129.568,253.4823486,0.2
Global Highback Leather Tilter in Burgundy,FUR-CH-10000422,1,6,1,92,90.99,96.20400517,0
"Global High-Back Leather Tilter, Burgundy",FUR-CH-10002880,1,6,1,59,1106.91,1709.903945,0
Global Italian Leather Office Chair,FUR-CH-10003761,1,6,1,77,785.88,1556.737186,0
"Global Leather & Oak Executive Chair, Burgundy",FUR-CH-10001714,1,6,1,37,120.712,145.9844748,0.2
"Global Leather and Oak Executive Chair, Black",FUR-CH-10004495,1,6,1,4,963.136,1149.056377,0.2
Global Leather Executive Chair,FUR-CH-10001394,1,6,1,76,1228.465,2097.674992,0.3
"Global Leather Highback Executive Chair with Pneumatic Height Adjustment, Black",FUR-CH-10002965,1,6,1,24,321.568,597.4102452,0.2
"Global Leather Task Chair, Black",FUR-CH-10003061,1,6,1,73,89.99,140.3255609,0
Global Low Back Tilter Chair,FUR-CH-10004860,1,6,1,25,161.568,253.720894,0.2
"Global Manager's Adjustable Task Chair, Storm",FUR-CH-10004853,1,6,1,12,301.96,410.3862815,0
"Global Push Button Manager's Chair, Indigo",FUR-CH-10004477,1,6,1,56,389.696,548.0366057,0.2
"Global Stack Chair with Arms, Black",FUR-CH-10004754,1,6,1,15,62.958,69.12396639,0.3
"Global Stack Chair without Arms, Black",FUR-CH-10002304,1,6,1,54,254.604,434.2360025,0.3
Global Super Steno Chair,FUR-CH-10004289,1,6,1,94,470.302,751.6044383,0.3
"Global Task Chair, Black",FUR-CH-10001146,1,6,1,8,213.115,279.5315433,0.3
Global Troy Executive Leather Low-Back Tilter,FUR-CH-10001215,1,6,1,71,801.568,988.358983,0.2
"Global Value Steno Chair, Gray",FUR-CH-10003817,1,6,1,68,340.144,463.055728,0.2
"Global Wood Trimmed Manager's Task Chair, Khaki",FUR-CH-10003774,1,6,1,83,545.88,713.3881955,0
GuestStacker Chair with Chrome Finish Legs,FUR-CH-10003973,1,6,1,92,892.224,1187.001913,0.2
Harbour Creations 67200 Series Stacking Chairs,FUR-CH-10004875,1,6,1,14,113.888,133.4771748,0.2
Harbour Creations Steel Folding Chair,FUR-CH-10001270,1,6,1,87,172.5,295.7106112,0
High-Back Leather Manager's Chair,FUR-CH-10000513,1,6,1,67,831.936,931.9595944,0.2
Hon 2090 “Pillow Soft” Series Mid Back Swivel/Tilt Chairs,FUR-CH-10003312,1,6,1,33,786.744,1258.990455,0.3
Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,FUR-CH-10004086,1,6,1,11,466.768,654.4718995,0.2
Hon 4070 Series Pagoda Round Back Stacking Chairs,FUR-CH-10003746,1,6,1,100,641.96,683.89339,0
Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,FUR-CH-10002331,1,6,1,76,747.558,1036.870316,0.3
HON 5400 Series Task Chairs for Big and Tall,FUR-CH-10002024,1,6,1,30,1121.568,1919.024474,0.2
Hon Comfortask Task/Swivel Chairs,FUR-CH-10001545,1,6,1,27,273.552,407.5048537,0.2
Hon Deluxe Fabric Upholstered Stacking Chairs,FUR-CH-10002126,1,6,1,5,195.184,217.1159907,0.2
"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",FUR-CH-10000454,1,6,1,60,731.94,1187.784837,0
"Hon Deluxe Fabric Upholstered Stacking Chairs, Squared Back",FUR-CH-10002758,1,6,1,88,585.552,683.3980503,0.2
Hon Every-Day Chair Series Swivel Task Chairs,FUR-CH-10001802,1,6,1,51,254.058,273.257254,0.3
Hon Every-Day Series Multi-Task Chairs,FUR-CH-10004997,1,6,1,98,451.152,676.6777171,0.2
Hon GuestStacker Chair,FUR-CH-10002335,1,6,1,33,544.008,1009.428548,0.2
Hon Mobius Operator's Chair,FUR-CH-10002084,1,6,1,74,442.764,841.2884567,0.1
Hon Multipurpose Stacking Arm Chairs,FUR-CH-10000015,1,6,1,64,866.4,1629.676828,0
Hon Olson Stacker Chairs,FUR-CH-10002073,1,6,1,90,1059.12,1889.741405,0
Hon Olson Stacker Stools,FUR-CH-10000988,1,6,1,47,140.81,261.6570691,0
Hon Pagoda Stacking Chairs,FUR-CH-10002320,1,6,1,9,2054.272,3604.278965,0.2
Hon Valutask Swivel Chairs,FUR-CH-10003846,1,6,1,29,161.568,278.2441384,0.2
"Iceberg Nesting Folding Chair, 19w x 6d x 43h",FUR-CH-10002439,1,6,1,11,366.786,558.0434249,0.1
"Leather Task Chair, Black",FUR-CH-10002961,1,6,1,59,145.568,173.3010969,0.2
"Lifetime Advantage Folding Chairs, 4/Carton",FUR-CH-10004675,1,6,1,95,348.928,612.8523401,0.2
"Metal Folding Chairs, Beige, 4/Carton",FUR-CH-10000553,1,6,1,94,108.608,180.5180911,0.2
Novimex Fabric Task Chair,FUR-CH-10003833,1,6,1,85,341.488,453.3908036,0.3
Novimex High-Tech Fabric Mesh Task Chair,FUR-CH-10003956,1,6,1,72,113.568,186.7312118,0.2
Novimex Swivel Fabric Task Chair,FUR-CH-10000863,1,6,1,21,301.96,498.5255649,0
Novimex Turbo Task Chair,FUR-CH-10003968,1,6,1,100,319.41,613.187361,0.1
Office Star - Contemporary Swivel Chair with Padded Adjustable Arms and Flex Back,FUR-CH-10001708,1,6,1,42,1141.938,1868.062172,0.1
Office Star - Contemporary Task Swivel Chair,FUR-CH-10003199,1,6,1,82,332.94,489.9060658,0
"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",FUR-CH-10002044,1,6,1,58,419.136,640.0752619,0.2
"Office Star - Contemporary Task Swivel chair with Loop Arms, Charcoal",FUR-CH-10003298,1,6,1,38,523.92,913.7060065,0.2
Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,FUR-CH-10000749,1,6,1,25,579.136,866.6693115,0.2
Office Star - Ergonomically Designed Knee Chair,FUR-CH-10002372,1,6,1,3,242.94,419.6300015,0
Office Star - Mesh Screen back chair with Vinyl seat,FUR-CH-10001482,1,6,1,74,392.94,422.8373704,0
Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,FUR-CH-10004983,1,6,1,64,563.43,641.256318,0.3
Office Star - Professional Matrix Back Chair with 2-to-1 Synchro Tilt and Mesh Fabric Seat,FUR-CH-10001854,1,6,1,50,2807.84,5191.221251,0
Office Star Flex Back Scooter Chair with Aluminum Finish Frame,FUR-CH-10004626,1,6,1,33,302.67,509.3370728,0
Office Star Flex Back Scooter Chair with White Frame,FUR-CH-10001973,1,6,1,39,388.43,674.3605634,0.3
"Padded Folding Chairs, Black, 4/Carton",FUR-CH-10004698,1,6,1,98,396.802,441.7144532,0.3
SAFCO Arco Folding Chair,FUR-CH-10004287,1,6,1,87,1740.06,2633.080087,0.3
"Safco Chair Connectors, 6/Carton",FUR-CH-10001797,1,6,1,61,188.552,290.3123372,0.3
Safco Contoured Stacking Chairs,FUR-CH-10000595,1,6,1,30,190.72,304.1088354,0.2
SAFCO Folding Chair Trolley,FUR-CH-10003606,1,6,1,14,102.592,154.0539296,0.2
SAFCO Optional Arm Kit for Workspace Cribbage Stacking Chair,FUR-CH-10002017,1,6,1,89,42.624,80.24378294,0.2
"Situations Contoured Folding Chairs, 4/Set",FUR-CH-10002647,1,6,1,1,283.92,458.3020567,0
Office Star - Task Chair with Contemporary Loop Arms,FUR-CH-10002780,1,6,2,90,163.764,287.9654295,0.1
12-1/2 Diameter Round Wall Clock,FUR-FU-10002759,1,10,1,7,23.976,35.06675455,0.6
24-Hour Round Wall Clock,FUR-FU-10000076,1,10,1,58,47.952,71.11949798,0.2
36X48 HARDFLOOR CHAIRMAT,FUR-FU-10003247,1,10,1,61,41.96,67.70342442,0
3M Hangers With Command Adhesive,FUR-FU-10001935,1,10,1,20,2.96,4.838082439,0.2
3M Polarizing Light Filter Sleeves,FUR-FU-10001085,1,10,1,74,44.76,52.7280144,0.2
"3M Polarizing Task Lamp with Clamp Arm, Light Gray",FUR-FU-10004665,1,10,1,22,821.88,1235.175846,0
"6"" Cubicle Wall Clock, Black",FUR-FU-10000260,1,10,1,49,9.708,14.72455753,0.6
9-3/4 Diameter Round Wall Clock,FUR-FU-10000629,1,10,1,98,96.53,114.6215645,0
Acrylic Self-Standing Desk Frames,FUR-FU-10001731,1,10,1,33,6.408,10.70246272,0.2
"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",FUR-FU-10001185,1,10,1,57,185.58,243.2208987,0
Advantus Panel Wall Acrylic Frame,FUR-FU-10004020,1,10,1,81,13.128,14.20768455,0.2
Advantus Panel Wall Certificate Holder - 8.5x11,FUR-FU-10001591,1,10,1,70,109.8,162.7317167,0
Aluminum Document Frame,FUR-FU-10000246,1,10,1,4,12.22,23.598341,0
Artistic Insta-Plaque,FUR-FU-10002157,1,10,1,28,47.04,83.63011212,0
"Career Cubicle Clock, 8 1/4"", Black",FUR-FU-10004245,1,10,1,14,60.84,77.15710102,0
"C-Line Cubicle Keepers Polyproplyene Holder w/Velcro Back, 8-1/2x11, 25/Bx",FUR-FU-10004952,1,10,1,61,109.48,144.3266309,0
C-Line Cubicle Keepers Polyproplyene Holder With Velcro Backings,FUR-FU-10001918,1,10,1,9,15.136,26.76202728,0.2
"C-Line Magnetic Cubicle Keepers, Clear Polypropylene",FUR-FU-10002597,1,10,1,46,34.58,41.3243715,0
Coloredge Poster Frame,FUR-FU-10003347,1,10,1,86,28.4,54.04121503,0
"Computer Room Manger, 14""",FUR-FU-10001876,1,10,1,8,227.36,341.5364383,0
Contemporary Wood/Metal Frame,FUR-FU-10004909,1,10,1,76,51.712,75.23422324,0.6
"Contract Clock, 14"", Brown",FUR-FU-10001475,1,10,1,69,8.792,13.76362454,0.6
"Dana Fluorescent Magnifying Lamp, White, 36""",FUR-FU-10001986,1,10,1,22,40.784,48.86057614,0.6
Dana Halogen Swing-Arm Architect Lamp,FUR-FU-10001979,1,10,1,76,327.76,453.1919066,0
Dana Swing-Arm Lamps,FUR-FU-10001546,1,10,1,50,17.088,33.73080771,0.2
"DataProducts Ampli Magnifier Task Lamp, Black,",FUR-FU-10003623,1,10,1,23,64.944,85.0916863,0.2
DAX Black Cherry Wood-Tone Poster Frame,FUR-FU-10001095,1,10,1,27,127.104,188.2420196,0.2
"DAX Charcoal/Nickel-Tone Document Frame, 5 x 7",FUR-FU-10001037,1,10,1,20,18.96,31.20489448,0
Dax Clear Box Frame,FUR-FU-10001424,1,10,1,11,17.46,29.0738294,0
DAX Clear Channel Poster Frame,FUR-FU-10004666,1,10,1,52,29.16,55.49263137,0
"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",FUR-FU-10002813,1,10,1,43,48.576,78.4811028,0.2
"DAX Copper Panel Document Frame, 5 x 7 Size",FUR-FU-10002396,1,10,1,92,40.256,54.80212537,0.2
DAX Cubicle Frames - 8x10,FUR-FU-10001196,1,10,1,13,16.156,23.4540994,0.6
"DAX Cubicle Frames, 8-1/2 x 11",FUR-FU-10000719,1,10,1,72,17.14,23.62748595,0
"DAX Metal Frame, Desktop, Stepped-Edge",FUR-FU-10003849,1,10,1,12,40.48,47.42365676,0
DAX Natural Wood-Tone Poster Frame,FUR-FU-10000758,1,10,1,38,42.368,60.14247146,0.2
"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",FUR-FU-10002445,1,10,1,44,18.96,33.21470807,0
DAX Two-Tone Silver Metal Document Frame,FUR-FU-10004053,1,10,1,58,60.72,101.9648618,0
"DAX Value U-Channel Document Frames, Easel Back",FUR-FU-10000010,1,10,1,83,9.94,18.26955549,0
DAX Wood Document Frame,FUR-FU-10001473,1,10,1,45,27.46,31.2233197,0
DAX Wood Document Frame.,FUR-FU-10000175,1,10,1,17,82.38,132.2720682,0
Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,FUR-FU-10000277,1,10,1,9,84.272,124.7586505,0.6
"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",FUR-FU-10004006,1,10,1,11,102.36,147.0529532,0.2
"Deflect-o EconoMat Nonstudded, No Bevel Mat",FUR-FU-10004845,1,10,1,57,464.85,870.7495098,0
"Deflect-o EconoMat Studded, No Bevel Mat for Low Pile Carpeting",FUR-FU-10000723,1,10,1,77,66.112,79.02295364,0.6
Deflect-o Glass Clear Studded Chair Mats,FUR-FU-10000308,1,10,1,6,435.26,831.4425949,0
Deflect-O Glasstique Clear Desk Accessories,FUR-FU-10000073,1,10,1,92,69.3,109.7783731,0
"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",FUR-FU-10003601,1,10,1,9,516.488,846.9080526,0.2
"Deflect-o SuperTray Unbreakable Stackable Tray, Letter, Black",FUR-FU-10001588,1,10,1,36,87.54,99.74495549,0
"Eldon ""L"" Workstation Diamond Chairmat",FUR-FU-10004904,1,10,1,48,151.96,261.9672162,0.6
Eldon 100 Class Desk Accessories,FUR-FU-10002505,1,10,1,96,4.044,4.068928291,0.6
Eldon 200 Class Desk Accessories,FUR-FU-10000732,1,10,1,37,18.84,30.13109339,0
"Eldon 200 Class Desk Accessories, Burgundy",FUR-FU-10002960,1,10,1,19,35.168,46.16232171,0.2
"Eldon 200 Class Desk Accessories, Smoke",FUR-FU-10000771,1,10,1,93,69.08,102.5218711,0
"Eldon 300 Class Desk Accessories, Black",FUR-FU-10004164,1,10,1,43,4.95,6.524017956,0
"Eldon 400 Class Desk Accessories, Black Carbon",FUR-FU-10004963,1,10,1,22,26.25,31.14586271,0
Eldon 500 Class Desk Accessories,FUR-FU-10004864,1,10,1,41,255.76,491.0042776,0
Eldon Advantage Chair Mats for Low to Medium Pile Carpets,FUR-FU-10003975,1,10,1,24,86.62,97.91786571,0
Eldon Advantage Foldable Chair Mats for Low Pile Carpets,FUR-FU-10004622,1,10,1,33,108.4,189.6291964,0
Eldon Antistatic Chair Mats for Low to Medium Pile Carpets,FUR-FU-10000293,1,10,1,10,168.464,224.1418636,0.2
Eldon Cleatmat Chair Mats for Medium Pile Carpets,FUR-FU-10004597,1,10,1,66,44.4,74.53559063,0.6
Eldon Cleatmat Plus Chair Mats for High Pile Carpets,FUR-FU-10003773,1,10,1,93,238.56,330.8987186,0
Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,FUR-FU-10002918,1,10,1,85,218.352,274.5814805,0.2
"Eldon Delta Triangular Chair Mat, 52"" x 58"", Clear",FUR-FU-10001602,1,10,1,20,151.72,260.6708327,0
Eldon Executive Woodline II Cherry Finish Desk Accessories,FUR-FU-10003919,1,10,1,12,65.424,77.59399038,0.6
"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",FUR-FU-10003194,1,10,1,18,19.3,24.4913798,0.6
"Eldon Expressions Desk Accessory, Wood Photo Frame, Mahogany",FUR-FU-10001756,1,10,1,72,15.232,20.50330728,0.2
"Eldon Expressions Punched Metal & Wood Desk Accessories, Black & Cherry",FUR-FU-10003832,1,10,1,13,56.28,112.3887539,0
"Eldon Expressions Punched Metal & Wood Desk Accessories, Pewter & Cherry",FUR-FU-10001867,1,10,1,31,17.024,28.0302628,0.2
"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",FUR-FU-10001487,1,10,1,13,48.86,62.2397678,0
"Eldon Expressions Wood and Plastic Desk Accessories, Oak",FUR-FU-10003731,1,10,1,13,39.92,68.76416209,0
"Eldon Expressions Wood Desk Accessories, Oak",FUR-FU-10002364,1,10,1,88,14.76,27.45349414,0.6
Eldon Image Series Black Desk Accessories,FUR-FU-10001847,1,10,1,57,12.42,23.85710478,0
"Eldon Image Series Desk Accessories, Burgundy",FUR-FU-10004270,1,10,1,76,6.688,9.421374359,0.6
"Eldon Imàge Series Desk Accessories, Clear",FUR-FU-10001025,1,10,1,39,17.496,19.92231423,0.6
"Eldon Image Series Desk Accessories, Ebony",FUR-FU-10003691,1,10,1,86,12.35,19.04814768,0
Eldon Pizzaz Desk Accessories,FUR-FU-10002107,1,10,1,83,14.272,28.21569493,0.2
Eldon Radial Chair Mat for Low to Medium Pile Carpets,FUR-FU-10003268,1,10,1,98,63.968,76.24519054,0.2
"Eldon Regeneration Recycled Desk Accessories, Smoke",FUR-FU-10001852,1,10,1,8,8.352,8.519133164,0.2
"Eldon Stackable Tray, Side-Load, Legal, Smoke",FUR-FU-10000794,1,10,1,71,18.28,27.22900758,0
Eldon Wave Desk Accessories,FUR-FU-10000023,1,10,1,61,47.12,63.40100879,0
Electrix 20W Halogen Replacement Bulb for Zoom-In Desk Lamp,FUR-FU-10002671,1,10,1,48,26.8,34.2550855,0
"Electrix Architect's Clamp-On Swing Arm Lamp, Black",FUR-FU-10003664,1,10,1,88,190.92,245.26647,0.6
Electrix Fluorescent Magnifier Lamps & Weighted Base,FUR-FU-10003374,1,10,1,94,315.776,429.8275242,0.2
Electrix Halogen Magnifier Lamp,FUR-FU-10004306,1,10,1,83,310.88,326.1162759,0.2
"Electrix Incandescent Magnifying Lamp, Black",FUR-FU-10002553,1,10,1,6,29.32,34.84611477,0.6
"Executive Impressions 10"" Spectator Wall Clock",FUR-FU-10000672,1,10,1,92,35.28,54.87740952,0
"Executive Impressions 12"" Wall Clock",FUR-FU-10004671,1,10,1,30,14.136,24.60836236,0.6
"Executive Impressions 13"" Chairman Wall Clock",FUR-FU-10004017,1,10,1,90,258.072,510.137321,0.2
"Executive Impressions 13-1/2"" Indoor/Outdoor Wall Clock",FUR-FU-10002685,1,10,1,20,18.7,20.42747353,0
"Executive Impressions 14""",FUR-FU-10002045,1,10,1,77,22.23,27.25908945,0
"Executive Impressions 14"" Contract Wall Clock",FUR-FU-10004090,1,10,1,23,22.23,43.79677799,0
"Executive Impressions 14"" Contract Wall Clock with Quartz Movement",FUR-FU-10002030,1,10,1,78,44.46,68.56071192,0.6
"Executive Impressions 14"" Two-Color Numerals Wall Clock",FUR-FU-10000087,1,10,1,67,72.704,132.881102,0.2
"Executive Impressions 16-1/2"" Circular Wall Clock",FUR-FU-10001379,1,10,1,23,26.72,39.20089093,0
"Executive Impressions 8-1/2"" Career Panel/Partition Cubicle Clock",FUR-FU-10001617,1,10,1,81,24.96,29.50951652,0.2
Executive Impressions Supervisor Wall Clock,FUR-FU-10001290,1,10,1,35,126.3,148.6362051,0
Flat Face Poster Frame,FUR-FU-10004973,1,10,1,94,37.68,58.54271049,0
"Floodlight Indoor Halogen Bulbs, 1 Bulb per Pack, 60 Watts",FUR-FU-10001861,1,10,1,72,77.6,145.0741952,0
G.E. Halogen Desk Lamp Bulbs,FUR-FU-10002191,1,10,1,7,13.96,26.30573611,0
G.E. Longer-Life Indoor Recessed Floodlight Bulbs,FUR-FU-10004586,1,10,1,96,13.28,24.75305189,0
"GE 4 Foot Flourescent Tube, 40 Watt",FUR-FU-10000409,1,10,1,55,14.98,20.3187355,0
"GE 48"" Fluorescent Tube, Cool White Energy Saver, 34 Watts, 30/Box",FUR-FU-10002937,1,10,1,96,198.46,392.2681673,0
"GE General Purpose, Extra Long Life, Showcase & Floodlight Incandescent Bulbs",FUR-FU-10000206,1,10,1,46,2.91,5.07945378,0
"GE General Use Halogen Bulbs, 100 Watts, 1 Bulb per Pack",FUR-FU-10004587,1,10,1,69,62.82,84.37296127,0
Hand-Finished Solid Wood Document Frame,FUR-FU-10004093,1,10,1,80,136.92,190.6600046,0
"Howard Miller 11-1/2"" Diameter Brentwood Wall Clock",FUR-FU-10001215,1,10,1,95,474.43,683.8422403,0
"Howard Miller 11-1/2"" Diameter Grantwood Wall Clock",FUR-FU-10003039,1,10,1,19,34.504,68.3723439,0.2
"Howard Miller 11-1/2"" Diameter Ridgewood Wall Clock",FUR-FU-10000965,1,10,1,24,51.94,98.45907504,0
"Howard Miller 13"" Diameter Goldtone Round Wall Clock",FUR-FU-10004091,1,10,1,32,300.416,442.4752267,0.2
